model  ,workload      ,freq    ,speed                ,power              ,voltage
little ,cachekiller   ,1000000 ,0.5118952578636436   ,118533.107143      ,1103750.0
little ,cachekiller   ,1100000 ,0.5072648890308159   ,136972.66906500002 ,1140260.791367
little ,cachekiller   ,1200000 ,0.4967268082388632   ,156764.83453199998 ,1177455.0359709999
little ,cachekiller   ,1300000 ,0.47948267603384964  ,184530.514286      ,1226250.0
little ,cachekiller   ,1400000 ,0.49592846878492736  ,213940.135714      ,1274991.071429
little ,cachekiller   ,1500000 ,0.48954175315344084  ,244270.47481999997 ,1311258.992806
little ,cachekiller   ,200000  ,1.0                  ,29457.582733999996 ,919181.654676
little ,cachekiller   ,300000  ,0.7788599712597797   ,37661.410072000006 ,919208.633094
little ,cachekiller   ,400000  ,0.6961520038320295   ,44058.388489       ,919280.57554
little ,cachekiller   ,500000  ,0.6209484272712757   ,50028.474819999996 ,918758.9928059999
little ,cachekiller   ,600000  ,0.6056203097557081   ,61067.079137       ,956250.0
little ,cachekiller   ,700000  ,0.5781574325403162   ,74090.352518       ,993291.366906
little ,cachekiller   ,800000  ,0.5363244451540795   ,87647.028986       ,1030000.0
little ,cachekiller   ,900000  ,0.5281813827239342   ,101996.24460399999 ,1067122.302158
little ,cacherate-0   ,1000000 ,0.1959855479727017   ,155337.45323699998 ,1103300.359712
little ,cacherate-0   ,1100000 ,0.17792051384985952  ,183324.71014500002 ,1139710.1449280002
little ,cacherate-0   ,1200000 ,0.1630268968285829   ,214855.2           ,1176250.0
little ,cacherate-0   ,1300000 ,0.15058209554395824  ,256311.971429      ,1224919.642857
little ,cacherate-0   ,1400000 ,0.1397430750702529   ,302233.521429      ,1273000.0
little ,cacherate-0   ,1500000 ,0.1304696908871939   ,342650.446043      ,1302517.985612
little ,cacherate-0   ,200000  ,1.0                  ,27153.928057999998 ,919244.604317
little ,cacherate-0   ,300000  ,0.6600160578081091   ,36589.294964       ,919289.568345
little ,cacherate-0   ,400000  ,0.493014853472501    ,45859.114286       ,919223.2142860001
little ,cacherate-0   ,500000  ,0.3935367322360498   ,55117.035971000005 ,918929.856115
little ,cacherate-0   ,600000  ,0.3276194299478121   ,70260.44604299999  ,956214.028777
little ,cacherate-0   ,700000  ,0.28036932958651145  ,88049.808824       ,992637.8676469999
little ,cacherate-0   ,800000  ,0.2453231633881975   ,107980.935252      ,1029964.028777
little ,cacherate-0   ,900000  ,0.2176635889201124   ,130216.79136700001 ,1066366.906475
little ,cacherate-100 ,1000000 ,0.5130571030640669   ,116648.20143900001 ,1103750.0
little ,cacherate-100 ,1100000 ,0.49512534818941506  ,135345.16428599998 ,1140285.714286
little ,cacherate-100 ,1200000 ,0.490424791086351    ,155780.521429      ,1177383.928571
little ,cacherate-100 ,1300000 ,0.4858983286908078   ,182007.695652      ,1226250.0
little ,cacherate-100 ,1400000 ,0.4881615598885794   ,210347.557143      ,1275035.714286
little ,cacherate-100 ,1500000 ,0.4806754874651811   ,239598.920863      ,1311294.9640290001
little ,cacherate-100 ,200000  ,1.0                  ,29394.228571       ,919491.0714290001
little ,cacherate-100 ,300000  ,0.785341225626741    ,37250.405797       ,919030.797101
little ,cacherate-100 ,400000  ,0.6956824512534819   ,43805.202899       ,919193.84058
little ,cacherate-100 ,500000  ,0.6223885793871867   ,49754.188406       ,919320.6521739999
little ,cacherate-100 ,600000  ,0.5966225626740947   ,60289.891304       ,956240.9420290001
little ,cacherate-100 ,700000  ,0.5696378830083565   ,72905.921429       ,993000.0
little ,cacherate-100 ,800000  ,0.5543175487465182   ,85561.029197       ,1030164.2335770001
little ,cacherate-100 ,900000  ,0.5229805013927576   ,100255.311594      ,1067137.681159
little ,cacherate-20  ,1000000 ,0.2679297854555586   ,162352.81428599998 ,1102875.0
little ,cacherate-20  ,1100000 ,0.2641404290888827   ,184348.52173900002 ,1139456.521739
little ,cacherate-20  ,1200000 ,0.2538311507383672   ,208658.323741      ,1176241.007194
little ,cacherate-20  ,1300000 ,0.24519364725550294  ,245128.178571      ,1225035.714286
little ,cacherate-20  ,1400000 ,0.24285316244079128  ,279724.323741      ,1273758.992806
little ,cacherate-20  ,1500000 ,0.23934243521872386  ,315287.214286      ,1309946.428571
little ,cacherate-20  ,200000  ,1.0                  ,31503.884892000002 ,919253.597122
little ,cacherate-20  ,300000  ,0.6678183337977153   ,42721.259259       ,918981.481481
little ,cacherate-20  ,400000  ,0.5189189189189188   ,53577.366906       ,919352.517986
little ,cacherate-20  ,500000  ,0.4099191975480635   ,64959.071428999996 ,918785.7142860001
little ,cacherate-20  ,600000  ,0.35530788520479245  ,80994.82014400001  ,955890.28777
little ,cacherate-20  ,700000  ,0.3248815826135414   ,99165.741007       ,992517.9856120001
little ,cacherate-20  ,800000  ,0.28826971301198107  ,120900.748201      ,1029676.258993
little ,cacherate-20  ,900000  ,0.27433825578155474  ,140987.05          ,1066258.928571
little ,cacherate-40  ,1000000 ,0.48890266584004965  ,135801.258993      ,1103723.021583
little ,cacherate-40  ,1100000 ,0.48766274023558587  ,155543.230216      ,1140026.978417
little ,cacherate-40  ,1200000 ,0.46869187848729077  ,178767.280576      ,1176375.899281
little ,cacherate-40  ,1300000 ,0.4695598264104154   ,208462.594203      ,1225389.492754
little ,cacherate-40  ,1400000 ,0.4737755734655921   ,239056.863309      ,1274757.1942450001
little ,cacherate-40  ,1500000 ,0.46534407935523875  ,269886.848921      ,1311025.179856
little ,cacherate-40  ,200000  ,1.0                  ,34833.376812       ,919121.3768120001
little ,cacherate-40  ,300000  ,0.736515809051457    ,44995.185714       ,919089.2857139999
little ,cacherate-40  ,400000  ,0.646869187848729    ,53144.485714       ,919517.857143
little ,cacherate-40  ,500000  ,0.5849969001859888   ,60396.057143       ,918794.642857
little ,cacherate-40  ,600000  ,0.5756974581525108   ,72446.471014       ,955878.6231879999
little ,cacherate-40  ,700000  ,0.5392436453812772   ,86404.194245       ,993120.5035969999
little ,cacherate-40  ,800000  ,0.5189088654680719   ,100643.597122      ,1030000.0
little ,cacherate-40  ,900000  ,0.5024178549287043   ,117662.992806      ,1066384.892086
little ,cacherate-60  ,1000000 ,0.4961287384241688   ,127268.78571400001 ,1103732.142857
little ,cacherate-60  ,1100000 ,0.4867162592986185   ,146599.928058      ,1140071.942446
little ,cacherate-60  ,1200000 ,0.4771519659936238   ,167995.805755      ,1176816.5467629998
little ,cacherate-60  ,1300000 ,0.4691058144830727   ,196269.647482      ,1225935.251799
little ,cacherate-60  ,1400000 ,0.47502656748140276  ,225865.40579699998 ,1274954.7101450001
little ,cacherate-60  ,1500000 ,0.46804311522696224  ,255629.421429      ,1311133.928571
little ,cacherate-60  ,200000  ,1.0                  ,32142.028777       ,919082.7338129999
little ,cacherate-60  ,300000  ,0.7833611659328982   ,41077.457143       ,918982.142857
