model ,freq ,workload      ,power               ,speed
cpu   ,299  ,cachekiller   ,0.198504            ,0.9160355747077144
cpu   ,399  ,cachekiller   ,0.22096             ,0.8645562876886048
cpu   ,599  ,cachekiller   ,0.251977            ,0.8985540135928731
cpu   ,1199 ,cachekiller   ,0.314565            ,1.0
cpu   ,299  ,cacherate-0   ,0.03146             ,0.1868483570015971
cpu   ,399  ,cacherate-0   ,0.040976            ,0.2570682012232031
cpu   ,599  ,cacherate-0   ,0.063425            ,0.4077992172805213
cpu   ,1199 ,cacherate-0   ,0.141574            ,1.0
cpu   ,299  ,cacherate-100 ,0.195859            ,0.5143951279201233
cpu   ,399  ,cacherate-100 ,0.219532            ,0.5199043559843491
cpu   ,599  ,cacherate-100 ,0.249796            ,0.5681564904899851
cpu   ,1199 ,cacherate-100 ,0.313719            ,1.0
cpu   ,299  ,cacherate-20  ,0.114787            ,0.2840481747727768
cpu   ,399  ,cacherate-20  ,0.146729            ,0.3681703998037618
cpu   ,599  ,cacherate-20  ,0.208394            ,0.5388088823584586
cpu   ,1199 ,cacherate-20  ,0.369823            ,1.0
cpu   ,299  ,cacherate-40  ,0.172065            ,0.5434780683471884
cpu   ,399  ,cacherate-40  ,0.216946            ,0.7060856941156141
cpu   ,599  ,cacherate-40  ,0.272956            ,1.0096725627355976
cpu   ,1199 ,cacherate-40  ,0.331861            ,1.0
cpu   ,299  ,cacherate-60  ,0.197969            ,0.700913457656353
cpu   ,399  ,cacherate-60  ,0.224008            ,0.9307940237766473
cpu   ,599  ,cacherate-60  ,0.258913            ,0.9312564298694302
cpu   ,1199 ,cacherate-60  ,0.314686            ,1.0
cpu   ,299  ,cacherate-80  ,0.19287872127872077 ,0.5188403483968272
cpu   ,399  ,cacherate-80  ,0.221084            ,0.511552774120441
cpu   ,599  ,cacherate-80  ,0.246816            ,0.5417942610325729
cpu   ,1199 ,cacherate-80  ,0.314526            ,1.0
cpu   ,299  ,decrypt       ,0.034222            ,0.20958698617263846
cpu   ,399  ,decrypt       ,0.041687            ,0.27978347095853245
cpu   ,599  ,decrypt       ,0.074289            ,0.4345249621301564
cpu   ,1199 ,decrypt       ,0.142398            ,1.0
cpu   ,299  ,encrypt       ,0.034725            ,0.21037607139432832
cpu   ,399  ,encrypt       ,0.041664            ,0.2803639596119124
cpu   ,599  ,encrypt       ,0.070938            ,0.44518114505143047
cpu   ,1199 ,encrypt       ,0.142482            ,1.0
cpu   ,299  ,gzip-1        ,0.04458601398601406 ,0.22389712416979698
cpu   ,399  ,gzip-1        ,0.046337            ,0.3003158429961138
cpu   ,599  ,gzip-1        ,0.08192             ,0.45755374021653406
cpu   ,1199 ,gzip-1        ,0.161905            ,1.0
cpu   ,299  ,gzip-5        ,0.045367            ,0.20533422513598343
cpu   ,399  ,gzip-5        ,0.046232            ,0.2747291059599727
cpu   ,599  ,gzip-5        ,0.081808            ,0.4296874282116206
cpu   ,1199 ,gzip-5        ,0.161391            ,1.0
cpu   ,299  ,gzip-9        ,0.045               ,0.2053499599532903
cpu   ,399  ,gzip-9        ,0.046184            ,0.2748690926328359
cpu   ,599  ,gzip-9        ,0.08208             ,0.4256031187309935
cpu   ,1199 ,gzip-9        ,0.160799            ,1.0
cpu   ,299  ,hash          ,0.03789             ,0.1953354887678209
cpu   ,399  ,hash          ,0.046141            ,0.2634987932256991
cpu   ,599  ,hash          ,0.075742            ,0.4139478350649812
cpu   ,1199 ,hash          ,0.14906             ,1.0
cpu   ,299  ,idle          ,1.6114              ,1.0
cpu   ,399  ,idle          ,1.618454            ,1.0
cpu   ,599  ,idle          ,1.621317            ,1.0
cpu   ,1199 ,idle          ,1.636175            ,1.0
