model ,freq ,workload ,power               ,speed
cpu   ,600  ,decrypt  ,0.1935236579049092  ,0.4005906833131964
cpu   ,700  ,decrypt  ,0.24158373803766411 ,0.4671927726495955
cpu   ,800  ,decrypt  ,0.27983702948451167 ,0.5340054981457085
cpu   ,900  ,decrypt  ,0.3201347837715003  ,0.6007676227682397
cpu   ,1000 ,decrypt  ,0.36175627652460174 ,0.6675488114843833
cpu   ,1100 ,decrypt  ,0.4031385218277988  ,0.7344749934537839
cpu   ,1200 ,decrypt  ,0.44727780448674975 ,0.8001871409091169
cpu   ,1300 ,decrypt  ,0.49166592174926244 ,0.8669163915983634
cpu   ,1400 ,decrypt  ,0.5389145087281424  ,0.9337789791869184
cpu   ,1500 ,decrypt  ,0.5836703070873023  ,1.0
cpu   ,600  ,encrypt  ,0.1921107904909164  ,0.4013007658964498
cpu   ,700  ,encrypt  ,0.23938891417344524 ,0.468136486441413
cpu   ,800  ,encrypt  ,0.277961713904287   ,0.5349310526195431
cpu   ,900  ,encrypt  ,0.3177197561792734  ,0.6019144337324598
cpu   ,1000 ,encrypt  ,0.3584690134884667  ,0.6687058689002603
cpu   ,1100 ,encrypt  ,0.40055555798852294 ,0.7347041333389173
cpu   ,1200 ,encrypt  ,0.4437242293372506  ,0.8015076237793388
cpu   ,1300 ,encrypt  ,0.48742176301834866 ,0.8672697612338723
cpu   ,1400 ,encrypt  ,0.5339729914327283  ,0.9342101759897764
cpu   ,1500 ,encrypt  ,0.5782001083923158  ,1.0
cpu   ,600  ,gzip-1   ,0.21654943196681714 ,0.5561828051539985
cpu   ,700  ,gzip-1   ,0.267327078076275   ,0.5905415751177946
cpu   ,800  ,gzip-1   ,0.3087628250182627  ,0.7093554440714461
cpu   ,900  ,gzip-1   ,0.35161384137039986 ,0.6591930743630541
cpu   ,1000 ,gzip-1   ,0.39568134558660983 ,0.7546991210277214
cpu   ,1100 ,gzip-1   ,0.43403941208742863 ,0.948267418268318
cpu   ,1200 ,gzip-1   ,0.4849301291472864  ,0.9682512144344206
cpu   ,1300 ,gzip-1   ,0.5319095308682177  ,0.9781134020618556
cpu   ,1400 ,gzip-1   ,0.580206673120164   ,1.1210667485909418
cpu   ,1500 ,gzip-1   ,0.627389898292475   ,1.0
cpu   ,600  ,gzip-5   ,0.22130618872286498 ,0.40439145385872927
cpu   ,700  ,gzip-5   ,0.27334828948801143 ,0.4716925302472383
cpu   ,800  ,gzip-5   ,0.31673704391917906 ,0.5377960370950691
cpu   ,900  ,gzip-5   ,0.3605763132013123  ,0.6050114702111866
cpu   ,1000 ,gzip-5   ,0.40594296985409584 ,0.6715376982269571
cpu   ,1100 ,gzip-5   ,0.45183164016186317 ,0.7381890776624099
cpu   ,1200 ,gzip-5   ,0.5001618444924366  ,0.8034204307457972
cpu   ,1300 ,gzip-5   ,0.5479063205064364  ,0.8697259941804073
cpu   ,1400 ,gzip-5   ,0.5996913474432303  ,0.9336361506624671
cpu   ,1500 ,gzip-5   ,0.6449681788504654  ,1.0
cpu   ,600  ,gzip-9   ,0.22111547405923174 ,0.4038748977692546
cpu   ,700  ,gzip-9   ,0.27350237152246215 ,0.470478856211727
cpu   ,800  ,gzip-9   ,0.31725666780219286 ,0.5374499928695273
cpu   ,900  ,gzip-9   ,0.3606906217857331  ,0.6040984712988897
cpu   ,1000 ,gzip-9   ,0.4068760882036769  ,0.6706095002622312
cpu   ,1100 ,gzip-9   ,0.45169062902698176 ,0.7352246591095778
cpu   ,1200 ,gzip-9   ,0.5003176628806137  ,0.8014438412893837
cpu   ,1300 ,gzip-9   ,0.5473310705559647  ,0.8666577909031492
cpu   ,1400 ,gzip-9   ,0.5983339850850853  ,0.9323446309292848
cpu   ,1500 ,gzip-9   ,0.6458380776338016  ,1.0
cpu   ,600  ,hash     ,0.2216625698103862  ,0.40580567704313514
cpu   ,700  ,hash     ,0.2746994695340035  ,0.4725075387923286
cpu   ,800  ,hash     ,0.32026526475464306 ,0.5392890925045868
cpu   ,900  ,hash     ,0.3663953884179925  ,0.6061665769989494
cpu   ,1000 ,hash     ,0.4122197561006334  ,0.6711341814520131
cpu   ,1100 ,hash     ,0.45961994727741257 ,0.7391596376132455
cpu   ,1200 ,hash     ,0.5091370239746438  ,0.8039039141070939
cpu   ,1300 ,hash     ,0.560903775225677   ,0.8683867652726036
cpu   ,1400 ,hash     ,0.6142651437339047  ,0.9360485817146019
cpu   ,1500 ,hash     ,0.6664862397680248  ,1.0
cpu   ,600  ,idle     ,2.855955            ,1.0
cpu   ,700  ,idle     ,2.899018796992481   ,1.0
cpu   ,800  ,idle     ,2.926002506265664   ,1.0
cpu   ,900  ,idle     ,2.951370481927711   ,1.0
cpu   ,1000 ,idle     ,2.978583583583584   ,1.0
cpu   ,1100 ,idle     ,3.0034342928660824  ,1.0
cpu   ,1200 ,idle     ,3.0310551654964892  ,1.0
cpu   ,1300 ,idle     ,3.057185            ,1.0
cpu   ,1400 ,idle     ,3.084576            ,1.0
cpu   ,1500 ,idle     ,3.110947            ,1.0
